Transplant Year,Age Group,Organ,N,Graft Survival Rate ,Patient Survival Rate ,All ABO,O,A,B,AB,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
1995,18-34,Kidney,2184,34.03,70.38,2624,1221,985,300,118,116,347,1095,243,6,1,326,53,93,140,204,2326,753,468,0,91,23,15,1
1995,35-49,Kidney,3476,34.5,50.8,4064,1801,1530,522,211,61,839,1183,555,7,3,398,374,226,174,244,4756,1219,690,2,178,55,17,0
1995,50-64,Kidney,2798,23.93,27.49,3070,1315,1270,336,149,13,779,658,452,11,2,337,407,168,81,162,4552,849,562,0,160,44,9,1
1995,65+,Kidney,577,10.5,9.97,606,264,247,62,33,3,130,132,108,4,0,88,58,47,7,29,794,94,102,0,19,3,2,0
1994,<1 Year,Kidney,3,0,0,4,3,1,0,0,1,0,0,0,0,0,3,0,0,0,0,171,40,42,0,7,2,0,0
1994,1-5 Years,Kidney,83,45.44,93.62,93,44,38,7,4,39,0,6,0,1,0,30,7,0,3,7,249,74,69,0,10,2,1,0
1994,6-10 Years,Kidney,110,37.91,82.52,140,57,60,18,5,37,1,31,1,1,0,43,5,1,5,15,186,34,34,0,3,2,1,0
1994,11-17 Years,Kidney,364,30.14,76.21,436,206,168,49,13,59,1,153,8,2,0,120,5,3,26,59,399,125,80,0,16,8,2,0
1994,18-34,Kidney,2250,35.18,69.16,2720,1293,975,317,135,116,354,1005,216,5,0,607,30,83,112,192,2367,759,413,5,120,35,11,0
1994,35-49,Kidney,3365,30.09,47.4,3925,1808,1463,453,201,49,811,1021,505,5,0,780,282,162,122,188,4494,1176,571,4,184,42,17,0
1994,50-64,Kidney,2582,20.7,24.49,2811,1221,1126,340,124,12,652,517,413,6,0,560,347,137,42,125,4212,855,428,6,143,61,17,0
1994,65+,Kidney,489,9.24,9.59,517,228,215,52,22,1,87,109,98,2,0,115,39,32,4,30,654,77,59,0,21,5,6,0
1993,<1 Year,Kidney,5,0,0,6,2,3,0,1,2,0,1,0,0,0,2,0,0,0,1,175,22,34,1,3,0,0,0
1993,1-5 Years,Kidney,125,48.25,88.47,145,62,55,20,8,57,0,23,0,2,0,28,10,1,2,22,292,83,62,0,8,5,0,0
1993,6-10 Years,Kidney,116,30.05,86.62,135,59,53,18,5,46,0,36,0,1,0,32,1,0,2,17,172,40,45,0,5,4,0,0
1993,11-17 Years,Kidney,318,30.04,77.44,376,169,140,49,18,60,1,156,8,1,0,100,10,0,3,37,365,113,81,0,14,8,1,0
1993,18-34,Kidney,2322,34.98,68.02,2815,1308,1102,300,105,78,457,1246,261,6,0,468,41,22,37,199,2563,702,409,5,96,22,9,0
1993,35-49,Kidney,3211,31.64,47.6,3759,1698,1439,473,149,29,856,1153,624,5,0,445,380,36,38,193,4318,1049,536,7,152,30,11,0
1993,50-64,Kidney,2452,19.87,23.16,2674,1156,1074,319,125,4,636,632,500,9,1,310,392,38,13,139,4105,753,396,5,141,35,6,0
1993,65+,Kidney,427,6.44,6.09,450,206,194,35,15,3,81,104,94,2,1,68,48,19,3,27,629,59,38,2,15,5,0,0
1992,<1 Year,Kidney,4,0,0,4,1,3,0,0,0,0,0,0,0,0,1,1,0,0,2,155,32,38,1,4,2,1,0
1992,1-5 Years,Kidney,99,37.12,84.57,121,55,48,14,4,40,0,20,0,1,0,31,16,0,2,11,229,64,76,2,13,6,0,0
1992,6-10 Years,Kidney,105,28.53,82.68,122,49,52,13,8,30,0,32,3,1,0,30,8,1,1,16,158,33,21,0,6,3,0,0
1992,11-17 Years,Kidney,271,31.51,78.94,344,165,121,39,19,77,0,139,4,1,0,62,7,0,3,51,345,93,75,0,16,5,1,0
1992,18-34,Kidney,2128,33.96,65.62,2722,1273,1036,304,109,64,422,1212,297,3,0,428,53,12,29,202,2414,693,364,3,106,22,14,0
1992,35-49,Kidney,3013,30.57,44.74,3630,1704,1328,426,172,22,805,1151,674,3,0,395,346,16,29,189,3975,1012,480,2,186,32,12,0
1992,50-64,Kidney,2113,20.2,24.03,2375,1073,910,266,126,13,506,568,477,10,0,248,395,23,15,120,3636,599,353,3,137,35,10,0
1992,65+,Kidney,395,9.74,9.32,420,185,176,40,19,1,46,110,109,4,0,62,40,16,3,29,551,44,50,2,15,5,0,0
1991,<1 Year,Kidney,10,0,0,10,5,4,0,1,7,0,1,0,0,0,1,0,0,0,1,205,31,40,0,4,1,3,1
1991,1-5 Years,Kidney,97,44.94,89.67,120,58,50,8,4,35,0,25,1,1,0,35,12,0,2,9,263,62,50,0,5,3,1,0
1991,6-10 Years,Kidney,121,37.91,82.9,163,88,56,14,5,48,0,53,2,0,0,28,4,2,4,22,173,46,32,0,6,4,1,0
1991,11-17 Years,Kidney,260,35.2,81.56,348,154,147,32,15,61,1,137,3,2,0,77,12,2,3,50,367,79,64,0,8,6,1,0
1991,18-34,Kidney,2209,34.96,66.21,2867,1300,1093,340,134,58,489,1267,266,1,5,464,46,12,29,230,2492,725,354,3,104,23,12,0
1991,35-49,Kidney,2952,30.53,43.62,3589,1594,1385,434,175,26,865,1139,578,3,2,401,321,24,25,205,4023,915,441,11,139,24,11,0
1991,50-64,Kidney,1971,19.84,23.49,2243,1013,896,250,84,3,493,590,428,6,2,221,356,27,6,111,3439,564,307,8,109,35,4,0
1991,65+,Kidney,318,9.61,9.56,338,154,129,39,16,0,46,105,79,1,0,47,32,6,1,21,471,40,23,0,16,5,2,0
1990,<1 Year,Kidney,5,0,0,8,4,2,2,0,1,0,0,0,0,0,3,2,1,0,1,185,25,26,3,1,1,0,0
1990,1-5 Years,Kidney,91,41.96,79.57,116,48,45,21,2,27,0,19,3,2,0,36,6,1,1,21,234,79,38,3,9,1,0,0
1990,6-10 Years,Kidney,112,43.59,79.58,146,61,59,20,6,40,0,39,0,0,0,35,5,1,4,22,169,39,22,2,5,1,0,1
1990,11-17 Years,Kidney,272,32.49,84.15,372,181,138,40,13,73,1,141,10,2,1,80,9,4,0,51,373,84,78,3,8,4,1,1
1990,18-34,Kidney,2178,34.55,66.85,2842,1290,1120,315,113,84,525,1260,177,4,6,383,49,77,15,262,2623,644,312,7,78,19,8,0
1990,35-49,Kidney,2859,29.27,45.23,3461,1544,1335,414,163,20,777,1144,437,4,8,332,367,152,16,204,3795,935,413,8,132,25,8,0
1990,50-64,Kidney,1947,19.36,22.46,2175,917,898,249,109,8,417,596,330,8,4,226,339,115,8,124,3179,538,253,17,117,28,5,0
1990,65+,Kidney,274,7.94,10.01,296,127,124,32,13,0,28,96,55,6,0,42,33,18,1,17,403,24,22,0,9,3,0,0
1989,<1 Year,Kidney,5,0,0,6,3,3,0,0,1,0,0,0,0,0,4,0,0,0,1,156,21,18,0,6,0,0,1
1989,1-5 Years,Kidney,95,53.7,88.93,118,71,33,11,3,47,0,10,0,1,0,34,8,3,0,15,210,62,50,2,16,1,1,0
1989,6-10 Years,Kidney,104,24.31,82.05,146,72,49,23,2,36,1,45,2,2,0,29,4,1,0,26,155,37,26,0,6,3,1,0
1989,11-17 Years,Kidney,266,37.04,78.03,366,163,139,49,15,51,0,160,2,1,1,74,8,6,3,60,290,100,71,0,15,4,1,0
1989,18-34,Kidney,2059,35.28,63.99,2697,1198,1056,344,99,79,508,1207,211,3,2,344,46,32,21,244,2463,595,278,3,95,23,11,0
1989,35-49,Kidney,2630,27.87,42.94,3200,1516,1178,349,156,23,748,1073,423,3,4,321,308,88,15,194,3418,793,335,4,99,48,4,0
1989,50-64,Kidney,1688,20.2,23.17,1918,860,727,234,97,6,366,550,331,7,1,190,293,52,3,119,2597,503,216,8,81,19,2,0
1989,65+,Kidney,191,14.35,11.16,205,85,78,31,11,1,21,59,45,3,0,30,21,6,0,19,250,25,8,0,7,2,0,0
1988,<1 Year,Kidney,7,0,0,8,3,4,1,0,1,0,0,0,0,0,3,1,0,0,3,98,19,9,0,3,0,1,0
1988,1-5 Years,Kidney,81,34.87,77.27,119,51,50,13,5,45,0,16,0,1,0,31,7,0,2,17,200,48,50,2,12,0,0,0
1988,6-10 Years,Kidney,83,36.1,81.79,123,58,52,10,3,29,0,44,1,0,0,15,3,0,1,30,155,33,23,1,1,1,1,0
1988,11-17 Years,Kidney,271,27.59,80.51,407,182,163,44,18,76,0,177,8,2,1,65,11,2,3,62,356,103,62,3,11,4,0,0
1988,18-34,Kidney,2076,33.78,62.24,2794,1286,1060,322,125,88,593,1220,199,2,1,375,51,20,10,235,2419,603,303,3,83,16,7,0
1988,35-49,Kidney,2579,27.71,42.55,3289,1486,1274,383,146,32,780,1104,465,5,3,322,337,32,8,201,3196,838,291,5,109,43,1,0
1988,50-64,Kidney,1654,19.17,21.72,1926,876,730,232,88,2,333,561,374,5,1,190,322,24,2,112,2487,490,179,6,60,20,3,0
1988,65+,Kidney,195,0,8.78,212,98,80,17,17,0,17,66,51,4,0,28,33,1,1,11,219,28,11,1,4,2,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
