Transplant Year,Age Group,All Diagnoses,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases
1992,65 +,420,1,46,110,109,4,0,62,40,16,3,29
1991,< 1 Year,10,7,0,1,0,0,0,1,0,0,0,1
1991,1-5 Years,120,35,0,25,1,1,0,35,12,0,2,9
1991,6-10 Years,163,48,0,53,2,0,0,28,4,2,4,22
1991,11-17 Years,348,61,1,137,3,2,0,77,12,2,3,50
1991,18-34 Years,2867,58,489,1267,266,1,5,464,46,12,29,230
1991,35-49 Years,3589,26,865,1139,578,3,2,401,321,24,25,205
1991,50-64 Years,2243,3,493,590,428,6,2,221,356,27,6,111
1991,65 +,338,0,46,105,79,1,0,47,32,6,1,21
1990,< 1 Year,8,1,0,0,0,0,0,3,2,1,0,1
1990,1-5 Years,116,27,0,19,3,2,0,36,6,1,1,21
1990,6-10 Years,146,40,0,39,0,0,0,35,5,1,4,22
1990,11-17 Years,372,73,1,141,10,2,1,80,9,4,0,51
1990,18-34 Years,2842,84,525,1260,177,4,6,383,49,77,15,262
1990,35-49 Years,3461,20,777,1144,437,4,8,332,367,152,16,204
1990,50-64 Years,2175,8,417,596,330,8,4,226,339,115,8,124
1990,65 +,296,0,28,96,55,6,0,42,33,18,1,17
1989,< 1 Year,6,1,0,0,0,0,0,4,0,0,0,1
1989,1-5 Years,118,47,0,10,0,1,0,34,8,3,0,15
1989,6-10 Years,146,36,1,45,2,2,0,29,4,1,0,26
1989,11-17 Years,366,51,0,160,2,1,1,74,8,6,3,60
1989,18-34 Years,2697,79,508,1207,211,3,2,344,46,32,21,244
1989,35-49 Years,3200,23,748,1073,423,3,4,321,308,88,15,194
1989,50-64 Years,1918,6,366,550,331,7,1,190,293,52,3,119
1989,65 +,205,1,21,59,45,3,0,30,21,6,0,19
1988,< 1 Year,8,1,0,0,0,0,0,3,1,0,0,3
1988,1-5 Years,119,45,0,16,0,1,0,31,7,0,2,17
1988,6-10 Years,123,29,0,44,1,0,0,15,3,0,1,30
1988,11-17 Years,407,76,0,177,8,2,1,65,11,2,3,62
1988,18-34 Years,2794,88,593,1220,199,2,1,375,51,20,10,235
1988,35-49 Years,3289,32,780,1104,465,5,3,322,337,32,8,201
1988,50-64 Years,1926,2,333,561,374,5,1,190,322,24,2,112
1988,65 +,212,0,17,66,51,4,0,28,33,1,1,11
