,Transplant Year,Age Group,N,Graft_Survival_Rate ,Patient Survival Rate,All ABO,O,A,B,AB,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
71,2011,65+,2740,82.06,85.66,2951,1277,1137,368,169,17,1063,343,743,17,0,267,217,60,77,147,3052,672,495,1,249,27,5,16
72,2010,<1 Year,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,167,40,62,0,13,1,1,6
73,2010,1-5 Years,150,89.75,96.57,158,66,64,23,5,54,0,14,0,4,0,66,8,0,2,10,257,92,118,0,22,1,4,6
74,2010,6-10 Years,133,93.92,100,144,72,48,13,11,40,0,45,1,2,0,37,5,0,5,9,158,48,75,0,15,1,1,2
75,2010,11-17 Years,396,87.64,98.44,445,226,151,55,13,98,2,155,8,4,0,118,10,4,20,26,349,162,180,0,31,5,2,6
76,2010,18-34,1731,88.47,97.66,2167,1011,758,282,116,98,123,959,257,4,0,331,41,26,228,100,1779,692,583,2,123,19,9,19
77,2010,35-49,3672,89.71,96.28,4485,2039,1610,628,208,63,761,1241,999,9,0,345,420,70,429,148,3644,1889,914,1,334,48,33,32
78,2010,50-64,5817,87.2,91.93,6686,2976,2425,946,339,38,2157,1059,1334,20,0,540,824,121,338,255,7817,2386,1500,1,537,99,24,60
79,2010,65+,2626,81.29,85.18,2814,1246,1068,367,133,13,936,374,748,13,0,238,208,74,75,135,2945,644,427,0,234,27,8,11
80,2009,<1 Year,4,0,0,4,2,1,0,1,1,0,0,0,0,0,3,0,0,0,0,161,61,78,0,14,1,2,12
81,2009,1-5 Years,172,88.85,98.25,179,95,56,20,8,46,0,24,2,1,0,79,14,1,0,12,301,113,135,1,29,2,4,7
82,2009,6-10 Years,142,88.52,99.25,156,85,53,14,4,62,0,27,3,5,0,35,6,2,5,11,186,53,60,0,10,2,0,4
83,2009,11-17 Years,453,87.35,98.63,528,275,174,62,17,118,1,143,16,2,0,154,10,7,33,44,422,136,176,0,26,5,7,9
84,2009,18-34,1773,87.95,98.06,2205,1031,796,282,96,126,141,949,311,2,0,276,34,33,226,107,1761,735,550,0,134,19,11,11
85,2009,35-49,3737,89.74,95.9,4544,2128,1601,597,218,75,774,1263,986,11,0,392,431,93,371,148,3878,1692,990,0,303,56,25,23
86,2009,50-64,5704,85.94,90.96,6552,2862,2493,866,331,29,2067,1026,1330,21,0,570,776,142,329,262,7809,2305,1437,1,527,89,24,46
