,Transplant Year,Age Group,N,Graft Survival Rate ,Patient Survival Rate,All ABO,O,A,B,AB,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
60,2000,18-34,2161,41.15,75.47,2603,1254,925,318,106,83,216,959,229,8,0,415,36,89,414,154,2140,749,486,0,145,22,15,2
61,2000,35-49,3862,41.6,57.92,4652,2111,1741,577,223,43,772,1134,583,7,1,573,415,197,722,205,5302,1395,836,0,237,58,31,1
62,2000,50-64,4095,28.02,32.56,4535,1937,1817,567,214,26,1231,747,636,16,1,563,537,207,357,214,5935,1304,813,0,269,74,31,2
63,2000,65+,1159,13.57,13.58,1212,555,484,120,53,10,313,172,232,5,0,205,101,70,35,69,1363,226,162,0,53,12,3,1
64,1999,<1 Year,8,0,0,9,6,2,0,1,2,0,1,1,0,0,2,1,0,0,2,176,48,40,0,6,4,0,1
65,1999,1-5 Years,131,48.72,90.19,136,68,41,24,3,48,0,16,0,4,0,36,15,0,5,12,250,67,71,0,17,2,0,2
66,1999,6-10 Years,126,43.05,83.97,144,69,51,20,4,43,0,33,2,1,0,32,7,3,12,11,184,45,44,0,3,3,0,0
67,1999,11-17 Years,394,36.09,75.38,461,227,174,51,9,92,2,149,4,0,0,94,17,4,50,49,432,151,94,0,12,9,2,0
68,1999,18-34,2177,39.9,71.59,2570,1148,952,349,121,103,220,970,255,3,1,404,31,91,311,181,2054,838,489,0,123,24,10,0
69,1999,35-49,3613,40.25,56.77,4288,1863,1649,558,217,45,800,1108,541,9,3,483,388,212,491,208,5211,1261,723,1,232,57,31,0
70,1999,50-64,3871,26.72,32.31,4208,1771,1651,557,228,28,1200,710,638,13,4,465,513,216,224,197,5531,1186,721,0,260,73,23,0
71,1999,65+,906,9.88,10.03,951,391,405,104,51,5,236,162,181,4,1,139,75,74,30,44,1145,188,127,0,39,12,8,0
72,1998,<1 Year,3,0,0,3,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,197,35,48,0,7,1,2,1
73,1998,1-5 Years,106,56.12,94.56,115,57,40,15,2,34,0,20,0,2,0,32,11,2,5,9,218,90,65,0,13,3,2,0
74,1998,6-10 Years,136,42.2,87.7,153,79,40,25,9,43,0,47,0,0,1,27,10,2,8,15,201,50,52,0,5,3,2,0
75,1998,11-17 Years,332,32.07,76.77,393,194,132,50,16,80,0,125,5,0,0,92,2,5,37,47,419,129,83,0,16,8,6,0
76,1998,18-34,2150,39.86,73.03,2604,1188,967,311,138,89,270,1028,258,2,2,423,49,70,221,192,2208,779,486,0,95,16,19,1
77,1998,35-49,3674,38.26,57.12,4342,1940,1684,546,170,55,849,1133,585,4,4,599,398,181,303,231,5025,1286,747,2,237,55,31,0
78,1998,50-64,3598,26.6,30.74,3934,1700,1525,515,194,19,1104,720,595,7,4,516,473,178,144,174,5285,1104,698,2,257,55,13,0
79,1998,65+,876,11.56,11.96,911,386,380,106,39,3,205,160,180,6,3,139,84,55,17,59,1119,175,117,0,44,9,5,0
80,1997,<1 Year,3,0,0,3,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,186,24,51,0,10,2,5,0
81,1997,1-5 Years,125,52.33,85.1,132,64,43,19,6,56,0,17,0,4,0,37,4,0,2,12,290,71,69,0,15,2,3,0
82,1997,6-10 Years,119,38.22,87.22,137,73,45,17,2,46,0,30,0,0,0,23,4,1,10,23,165,55,45,0,6,2,2,0
83,1997,11-17 Years,350,32.55,78.32,405,188,152,46,19,81,0,153,4,1,0,86,4,3,25,48,410,135,77,0,13,6,6,0
84,1997,18-34,2055,39.75,71.92,2487,1104,961,316,106,91,256,995,245,4,1,408,37,72,200,178,2239,734,415,0,130,17,15,0
85,1997,35-49,3547,36.4,52.4,4181,1830,1628,543,180,38,839,1137,620,6,0,480,374,180,287,220,4889,1237,669,0,228,41,22,0
86,1997,50-64,3336,26.29,31.09,3647,1594,1454,425,174,19,985,645,608,8,1,442,466,183,119,171,4910,1075,573,2,178,48,25,0
87,1997,65+,688,10.26,10.54,718,283,303,93,39,2,158,136,153,4,0,101,74,35,11,44,965,133,77,0,37,4,3,0
88,1996,<1 Year,6,0,0,7,5,1,0,1,2,0,0,0,0,0,4,1,0,0,0,152,49,37,0,7,1,0,0
89,1996,1-5 Years,126,45.86,85.84,139,63,55,17,4,46,0,15,1,1,0,32,15,2,4,23,272,70,60,0,10,1,3,0
90,1996,6-10 Years,129,40.4,80.31,146,71,55,13,7,43,0,40,1,1,1,28,7,0,5,20,172,45,45,0,7,4,0,0
91,1996,11-17 Years,355,32.9,78.3,417,207,146,43,21,83,2,146,5,1,0,77,8,4,33,58,395,139,102,0,18,7,1,0
92,1996,18-34,2127,37.16,72.99,2574,1205,964,296,109,116,320,1037,264,9,6,327,38,78,171,208,2286,726,414,0,83,22,15,0
