,,,All Recipient States of Residence,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
To Date,All Recipient Ages,,"556,302","8,571",794,"10,582","4,266","61,778","7,139","5,729","1,792","1,522","29,701","14,141","1,934","2,093","26,399","9,917","5,540","4,200","6,325","7,471","1,885","13,854","11,493","18,942","10,383","4,978","10,170","1,400","3,222","3,555","1,770","17,186","3,136","37,954","15,024","1,291","20,983","5,305","5,047","25,899","2,917","1,831","8,166","1,483","10,541","41,489","4,211",880,"15,508","9,658","3,010","10,537",657,"22,043"
,35-49 Years,,"5,527",89,5,109,58,687,92,51,15,14,374,219,11,19,241,98,49,52,72,79,6,110,97,136,76,58,116,15,28,44,15,131,31,319,200,6,208,56,49,190,23,13,97,11,145,551,45,4,199,94,34,72,8,6
,50-64 Years,,"8,895",140,13,207,74,"1,001",108,102,17,16,648,299,24,33,435,148,91,82,104,117,26,217,145,233,115,86,160,12,56,72,17,289,43,576,289,15,422,73,66,357,35,24,167,9,175,801,51,3,334,148,59,148,9,4
,
,65 +,,"5,046",70,2,98,30,527,81,66,18,17,369,133,18,23,246,102,75,54,58,44,9,125,73,130,72,33,124,8,27,42,19,155,29,348,148,6,275,34,44,273,18,14,72,12,99,396,40,5,161,98,34,80,6,6
2019,All Recipient Ages,,"23,401",319,44,577,220,"2,708",347,262,52,72,"1,544",734,70,88,"1,105",392,209,204,248,355,52,530,461,656,355,210,465,38,133,127,71,726,122,"1,684",726,48,902,214,209,"1,013",93,66,364,52,422,"2,129",170,24,823,434,129,337,27,39
,1-5 Years,,164,2,2,2,2,14,1,0,1,1,6,3,0,2,9,2,4,0,2,2,1,5,1,5,0,1,4,0,2,1,0,3,2,9,6,0,10,6,2,8,1,0,2,0,2,19,3,0,7,6,1,1,1,0
,6-10 Years,,156,3,0,5,2,17,2,0,0,1,9,6,1,0,4,4,2,0,2,0,0,2,3,5,4,0,6,0,1,0,2,4,1,16,5,0,9,0,1,3,0,2,2,0,4,10,3,0,5,6,0,4,0,0
,11-17 Years,,440,5,2,18,3,60,9,1,4,0,23,15,1,5,16,10,7,0,5,2,1,8,4,13,13,0,4,0,3,2,1,11,2,33,21,2,15,5,2,16,2,0,6,4,4,44,5,1,11,11,3,5,1,1
,18-34 Years,,"2,746",32,5,77,21,377,52,30,5,7,139,86,10,13,117,41,23,16,23,44,6,52,60,66,47,37,50,8,17,18,11,81,17,173,86,6,99,26,35,100,12,7,39,5,59,281,25,4,78,58,17,37,5,6
,35-49 Years,,"5,624",89,12,128,71,673,81,60,11,18,355,207,13,24,288,96,50,46,60,113,13,112,95,145,78,58,92,6,24,43,11,148,27,336,187,9,225,42,54,214,28,12,111,12,103,578,45,4,191,102,22,83,5,14
,50-64 Years,,"9,142",145,17,206,76,"1,006",129,115,22,28,631,288,30,23,450,167,63,90,87,138,16,225,179,250,132,77,185,14,58,39,29,323,36,692,272,17,375,85,70,403,35,32,143,24,179,791,56,10,341,144,50,130,10,9
,65 +,,"5,129",43,6,141,45,561,73,56,9,17,381,129,15,21,221,72,60,52,69,56,15,126,119,172,81,37,124,10,28,24,17,156,37,425,149,14,169,50,45,269,15,13,61,7,71,406,33,5,190,107,36,77,5,9
2018,All Recipient Ages,,"21,167",332,19,553,163,"2,523",344,281,66,59,"1,366",618,80,88,976,348,210,196,253,251,61,535,421,696,311,187,383,43,110,113,45,636,104,"1,687",608,39,766,185,170,893,87,72,317,51,424,"1,763",149,13,640,424,97,323,29,59
,1-5 Years,,167,4,1,0,6,12,7,1,1,0,8,2,0,3,9,6,2,2,2,2,0,5,4,3,4,2,5,1,2,0,0,0,1,13,5,0,3,1,1,7,1,1,0,1,3,17,1,0,6,4,1,4,1,2
,6-10 Years,,160,1,0,0,3,19,3,0,1,0,12,4,0,1,6,9,2,1,1,2,0,4,4,5,5,1,4,0,0,1,0,7,1,10,4,0,5,2,1,5,0,2,3,0,5,15,0,0,0,5,0,3,0,3
,11-17 Years,,428,8,0,14,6,45,16,8,5,2,30,15,1,2,18,6,2,2,6,6,5,15,6,13,9,4,5,1,2,4,0,8,4,26,8,0,10,5,4,13,1,0,4,1,4,54,3,0,10,11,2,4,0,0
,18-34 Years,,"2,509",36,3,61,16,332,48,27,4,10,130,58,6,13,123,50,24,39,28,40,14,50,58,85,38,28,45,8,9,24,9,58,12,180,61,3,90,23,25,98,11,6,37,3,46,244,26,3,57,52,9,35,5,9
,35-49 Years,,"5,225",95,6,120,49,613,94,65,7,16,299,190,17,20,244,87,60,42,60,79,13,146,100,157,58,46,95,7,27,38,8,145,20,380,178,12,161,42,44,204,25,13,89,13,116,509,37,1,156,99,19,84,5,15
,50-64 Years,,"8,259",143,5,222,55,991,115,119,28,20,518,234,41,33,377,122,74,66,93,84,20,212,156,293,130,73,147,17,47,29,19,276,40,683,218,17,345,79,57,360,32,39,124,21,162,626,57,5,269,159,41,129,14,23
,65 +,,"4,419",45,4,136,28,511,61,61,20,11,369,115,15,16,199,68,46,44,63,38,9,103,93,140,67,33,82,9,23,17,9,142,26,395,134,7,152,33,38,206,17,11,60,12,88,298,25,4,142,94,25,64,4,7
2017,All Recipient Ages,,"19,849",318,35,546,108,"2,306",324,221,55,59,"1,095",513,74,85,895,309,194,181,243,260,75,511,410,604,372,185,372,32,133,121,68,624,124,"1,517",590,47,685,212,179,866,79,58,332,55,377,"1,761",166,14,607,380,73,340,24,35
,1-5 Years,,183,1,0,5,1,25,0,0,1,0,9,4,1,0,7,6,2,3,2,1,0,2,11,5,5,0,3,0,5,4,0,4,2,5,3,0,2,3,3,8,0,2,4,0,5,16,3,0,4,4,1,8,0,3
,6-10 Years,,131,4,1,5,1,15,2,0,1,1,6,5,0,1,4,4,1,3,2,0,0,1,5,5,3,3,2,0,0,0,0,2,0,6,4,0,3,3,1,4,0,0,3,1,1,8,2,0,5,5,4,3,0,1
,11-17 Years,,432,12,2,11,1,52,17,4,0,0,18,13,4,3,14,6,2,4,10,9,2,10,7,6,7,2,12,1,3,3,3,13,6,33,23,0,16,3,3,10,0,2,6,3,3,41,2,2,15,8,1,2,0,2
,18-34 Years,,"2,414",49,3,61,15,303,50,27,5,9,130,60,7,12,136,29,28,35,31,35,7,39,45,69,55,21,41,7,9,18,7,66,12,180,58,6,69,23,30,94,10,4,31,9,51,233,30,4,68,42,6,34,5,6
