,,All Diagnoses,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases
,50-64 Years,"6,519",26,"2,006",986,"1,310",19,3,735,730,141,305,258
,65 +,"2,377",13,778,281,631,15,1,240,185,66,46,121
2006,All Recipient Ages,"17,095",422,"3,542","3,822","3,308",66,0,"2,211","1,450",379,"1,150",745
,< 1 Year,7,4,0,0,0,0,0,3,0,0,0,0
,1-5 Years,163,47,0,18,0,3,0,66,8,1,3,17
,6-10 Years,138,29,0,39,1,4,0,48,6,1,4,6
,11-17 Years,584,124,0,190,13,3,0,160,17,3,34,40
,18-34 Years,"2,521",115,156,983,345,7,0,396,52,45,276,146
,35-49 Years,"4,771",61,788,"1,244",981,11,0,535,431,96,450,174
,50-64 Years,"6,523",35,"1,882","1,027","1,342",19,0,723,758,162,322,253
,65 +,"2,388",7,716,321,626,19,0,280,178,71,61,109
2005,All Recipient Ages,"16,485",402,"3,525","3,642","2,876",52,1,"2,267","1,451",454,"1,061",754
,< 1 Year,4,1,0,0,0,0,0,2,0,0,0,1
,,,,,,,,,,,,,
,1-5 Years,155,56,0,22,1,2,0,48,12,2,3,9
,6-10 Years,155,41,0,38,3,1,0,53,6,1,2,10
,11-17 Years,578,128,2,197,4,2,0,146,12,6,34,47
,18-34 Years,"2,492",79,165,995,345,5,1,409,49,70,223,151
,35-49 Years,"4,751",66,816,"1,186",860,10,0,620,455,125,437,176
,50-64 Years,"6,167",22,"1,872",936,"1,108",17,0,702,776,177,322,235
,65 +,"2,183",9,670,268,555,15,0,287,141,73,40,125
2004,All Recipient Ages,"16,007",408,"3,451","3,719","2,669",48,0,"1,988","1,298",564,"1,108",754
,< 1 Year,2,1,0,0,0,0,0,0,1,0,0,0
,1-5 Years,152,59,0,13,0,5,0,49,6,1,2,17
,6-10 Years,130,36,0,43,1,0,0,26,6,1,4,13
,11-17 Years,479,91,0,172,4,0,0,107,20,4,32,49
,18-34 Years,"2,671",109,219,"1,070",339,3,0,401,36,77,276,141
,35-49 Years,"4,834",69,881,"1,228",850,10,0,509,428,171,472,216
,50-64 Years,"5,882",31,"1,782",954,"1,031",16,0,670,675,222,275,226
,65 +,"1,857",12,569,239,444,14,0,226,126,88,47,92
2003,All Recipient Ages,"15,138",444,"3,062","3,440","2,211",51,0,"2,046","1,348",609,"1,211",716
,1-5 Years,155,70,0,14,0,1,0,43,8,0,6,13
,6-10 Years,149,52,0,41,0,1,0,27,4,0,8,16
,11-17 Years,506,119,1,171,6,2,0,112,14,3,41,37
,18-34 Years,"2,514",108,195,941,266,5,0,420,48,89,302,140
,35-49 Years,"4,644",59,811,"1,137",702,9,0,573,469,186,496,202
,50-64 Years,"5,483",24,"1,578",890,894,24,0,631,670,241,309,222
,65 +,"1,687",12,477,246,343,9,0,240,135,90,49,86
