,,,All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
,18-34 Years,,"3,604","2,208",779,486,0,95,16,19,1
,35-49 Years,,"7,383","5,025","1,286",747,2,237,55,31,0
,50-64 Years,,"7,414","5,285","1,104",698,2,257,55,13,0
,65 +,,"1,469","1,119",175,117,0,44,9,5,0
,
1997,All Recipient Ages,,"20,316","14,054","3,464","1,976",2,617,122,81,0
,< 1 Year,,278,186,24,51,0,10,2,5,0
,1-5 Years,,450,290,71,69,0,15,2,3,0
,6-10 Years,,275,165,55,45,0,6,2,2,0
,11-17 Years,,647,410,135,77,0,13,6,6,0
,18-34 Years,,"3,550","2,239",734,415,0,130,17,15,0
,35-49 Years,,"7,086","4,889","1,237",669,0,228,41,22,0
,50-64 Years,,"6,811","4,910","1,075",573,2,178,48,25,0
,65 +,,"1,219",965,133,77,0,37,4,3,0
1996,All Recipient Ages,,"19,765","13,749","3,364","1,887",1,545,155,62,2
,< 1 Year,,246,152,49,37,0,7,1,0,0
,1-5 Years,,416,272,70,60,0,10,1,3,0
,6-10 Years,,273,172,45,45,0,7,4,0,0
,11-17 Years,,662,395,139,102,0,18,7,1,0
,18-34 Years,,"3,546","2,286",726,414,0,83,22,15,0
,35-49 Years,,"7,036","4,909","1,249",591,0,203,61,22,1
,50-64 Years,,"6,442","4,660",962,559,1,185,54,20,1
,65 +,,"1,144",903,124,79,0,32,5,1,0
1995,All Recipient Ages,,"19,396","13,446","3,174","2,081",2,498,147,46,2
,< 1 Year,,227,162,14,39,0,11,0,1,0
,1-5 Years,,395,245,66,67,0,14,3,0,0
,6-10 Years,,292,184,49,47,0,6,6,0,0
,11-17 Years,,697,427,130,106,0,19,13,2,0
,18-34 Years,,"3,677","2,326",753,468,0,91,23,15,1
,35-49 Years,,"6,917","4,756","1,219",690,2,178,55,17,0
,50-64 Years,,"6,177","4,552",849,562,0,160,44,9,1
,65 +,,"1,014",794,94,102,0,19,3,2,0
1994,All Recipient Ages,,"18,299","12,732","3,140","1,696",15,504,157,55,0
,< 1 Year,,262,171,40,42,0,7,2,0,0
,1-5 Years,,405,249,74,69,0,10,2,1,0
,6-10 Years,,260,186,34,34,0,3,2,1,0
,11-17 Years,,630,399,125,80,0,16,8,2,0
,18-34 Years,,"3,710","2,367",759,413,5,120,35,11,0
,35-49 Years,,"6,488","4,494","1,176",571,4,184,42,17,0
,50-64 Years,,"5,722","4,212",855,428,6,143,61,17,0
,65 +,,822,654,77,59,0,21,5,6,0
1993,All Recipient Ages,,"17,631","12,619","2,821","1,601",20,434,109,27,0
,< 1 Year,,235,175,22,34,1,3,0,0,0
,1-5 Years,,450,292,83,62,0,8,5,0,0
,6-10 Years,,266,172,40,45,0,5,4,0,0
,11-17 Years,,582,365,113,81,0,14,8,1,0
,
,18-34 Years,,"3,806","2,563",702,409,5,96,22,9,0
,35-49 Years,,"6,103","4,318","1,049",536,7,152,30,11,0
,50-64 Years,,"5,441","4,105",753,396,5,141,35,6,0
,65 +,,748,629,59,38,2,15,5,0,0
1992,All Recipient Ages,,"16,134","11,463","2,570","1,457",13,483,110,38,0
,< 1 Year,,233,155,32,38,1,4,2,1,0
,1-5 Years,,390,229,64,76,2,13,6,0,0
,6-10 Years,,221,158,33,21,0,6,3,0,0
,11-17 Years,,535,345,93,75,0,16,5,1,0
,18-34 Years,,"3,616","2,414",693,364,3,106,22,14,0
,35-49 Years,,"5,699","3,975","1,012",480,2,186,32,12,0
,50-64 Years,,"4,773","3,636",599,353,3,137,35,10,0
,65 +,,667,551,44,50,2,15,5,0,0
1991,All Recipient Ages,,"15,756","11,433","2,462","1,311",22,391,101,35,1
,< 1 Year,,285,205,31,40,0,4,1,3,1
,1-5 Years,,384,263,62,50,0,5,3,1,0
,6-10 Years,,262,173,46,32,0,6,4,1,0
,11-17 Years,,525,367,79,64,0,8,6,1,0
,18-34 Years,,"3,713","2,492",725,354,3,104,23,12,0
,35-49 Years,,"5,564","4,023",915,441,11,139,24,11,0
,50-64 Years,,"4,466","3,439",564,307,8,109,35,4,0
,65 +,,557,471,40,23,0,16,5,2,0
1990,All Recipient Ages,,"15,001","10,961","2,368","1,164",43,359,82,22,2
,< 1 Year,,241,185,25,26,3,1,1,0,0
,1-5 Years,,364,234,79,38,3,9,1,0,0
,6-10 Years,,239,169,39,22,2,5,1,0,1
,11-17 Years,,552,373,84,78,3,8,4,1,1
,18-34 Years,,"3,691","2,623",644,312,7,78,19,8,0
,35-49 Years,,"5,316","3,795",935,413,8,132,25,8,0
,50-64 Years,,"4,137","3,179",538,253,17,117,28,5,0
,65 +,,461,403,24,22,0,9,3,0,0
1989,All Recipient Ages,,"13,140","9,539","2,136","1,002",17,325,100,20,1
,< 1 Year,,202,156,21,18,0,6,0,0,1
,1-5 Years,,342,210,62,50,2,16,1,1,0
,6-10 Years,,228,155,37,26,0,6,3,1,0
,11-17 Years,,481,290,100,71,0,15,4,1,0
,18-34 Years,,"3,468","2,463",595,278,3,95,23,11,0
,35-49 Years,,"4,701","3,418",793,335,4,99,48,4,0
,50-64 Years,,"3,426","2,597",503,216,8,81,19,2,0
,65 +,,292,250,25,8,0,7,2,0,0
1988,All Recipient Ages,,"12,623","9,130","2,162",928,21,283,86,13,0
,
,< 1 Year,,130,98,19,9,0,3,0,1,0
,1-5 Years,,312,200,48,50,2,12,0,0,0
,6-10 Years,,215,155,33,23,1,1,1,1,0
,11-17 Years,,539,356,103,62,3,11,4,0,0
,18-34 Years,,"3,434","2,419",603,303,3,83,16,7,0
,35-49 Years,,"4,483","3,196",838,291,5,109,43,1,0
,50-64 Years,,"3,245","2,487",490,179,6,60,20,3,0
,65 +,,265,219,28,11,1,4,2,0,0
